id,type,rank,dailyPriority,term,chinese,partOfSpeech,theme,ipa,syllables,exampleEnglish,exampleChinese,sourceTitle,sourceDoi,sourceType,sourceSlides,documentFrequency,corpusFrequency
ME-W087,word,87,1,stability,稳定性,noun,molecular-biology,/stəˈbɪlɪti/,sta·bil·ity,We discussed the role of stability in molecular regulation.,我们讨论了稳定性在分子调控中的作用。,ABPP-HT*-Deep Meets Fast for Activity-Based Profiling of Deubiquitylating Enzymes Using Advanced DIA Mass Spectrometry Methods.,10.3390/ijms23063263,,,18,23
ME-W088,word,88,1,ubiquitylation,泛素化,noun,ubiquitin,/juːˌbɪkwɪtɪˈleɪʃən/,ubi·quityla·tion,We discussed the role of ubiquitylation in ubiquitin and protease biology.,我们讨论了泛素化在泛素和蛋白酶生物学中的作用。,Ubiquitin E3 ligase KLHL6 brings exhausted T-cells back into action.,10.1007/s44466-026-00032-6,,,16,35
ME-W089,word,89,1,ubiquitination,泛素化,noun,ubiquitin,/juːˌbɪkwɪtɪˈneɪʃən/,ubi·quit·in·a·tion,We discussed the role of ubiquitination in ubiquitin and protease biology.,我们讨论了泛素化在泛素和蛋白酶生物学中的作用。,Analytical challenges for mapping non-canonical and non-protein ubiquitin/Ubl modifications by mass spectrometry.,10.1080/14789450.2026.2624128,,,16,28
ME-W090,word,90,1,genome,基因组,noun,molecular-biology,/ˈd͡ʒiː.nəʊm/,gen·ome,We discussed the role of genome in molecular regulation.,我们讨论了基因组在分子调控中的作用。,TEX264 coordinates p97- and SPRTN-mediated resolution of topoisomerase 1-DNA adducts.,10.1038/s41467-020-15000-w,,,18,21
ME-W091,word,91,1,assay,实验测定,noun,methods,/ˈæseɪ/,as·say,We discussed the role of assay in the experimental workflow.,我们讨论了实验测定在实验流程中的作用。,Multidimensional proteomics and explainable AI feature selection identify cross-platform lung cancer molecular signature in blood plasma.,10.1038/s43856-026-01701-8,,,9,10
ME-W092,word,92,1,enrichment,富集,noun,proteomics,/ɪnˈɹɪt͡ʃ.mənt/,en·rich·ment,We discussed the role of enrichment in quantitative proteomics.,我们讨论了富集在定量蛋白质组学中的作用。,TDP-43 pathology is associated with divergent protein profiles in ALS brain and spinal cord.,10.1186/s40478-025-02084-y,,,16,24
ME-W093,word,93,1,recruitment,募集,noun,cell-biology,/rɪˈkruːt.mənt /,re·cruit·ment,We discussed the role of recruitment in cellular pathways.,我们讨论了募集在细胞通路中的作用。,BLM and BRCA1-BARD1 coordinate complementary mechanisms of joint DNA molecule resolution.,10.1016/j.molcel.2023.12.040,,,16,24
ME-W094,word,94,1,cleavage,切割,noun,protease,/ˈkliːvɪdʒ/,cleav·age,We discussed the role of cleavage in protease activity and substrate cleavage.,我们讨论了切割在蛋白酶活性与底物切割中的作用。,Structural Premise of Selective Deubiquitinase USP30 Inhibition by Small-Molecule Benzosulfonamides.,10.1016/j.mcpro.2023.100609,,,16,23
ME-W095,word,95,1,acute,急性的,adjective,clinical,/əˈkjuːt/,acute,This acute change may affect disease mechanisms.,这种急性的变化可能影响疾病机制。,Effect of a Laparoscopic Donor Nephrectomy in Healthy Living Kidney Donors on the Acute Phase Response Using Either Propofol or Sevoflurane Anesthesia.,10.3390/ijms26115196,,,15,28
ME-W096,word,96,1,mammalian,哺乳动物的,adjective,cell-biology,/mæˈmeɪliən/,mam·mali·an,This mammalian change may affect cellular pathways.,这种哺乳动物的变化可能影响细胞通路。,Drosophila Sex Peptide controls the assembly of lipid microcarriers in seminal fluid.,10.1073/pnas.2019622118,,,15,28
ME-W097,word,97,1,homeostasis,稳态,noun,cell-biology,/ˌhɒmɪə(ʊ)ˈsteɪsɪs/,homeo·stas·is,We discussed the role of homeostasis in cellular pathways.,我们讨论了稳态在细胞通路中的作用。,Spatial protein expression patterns across pathologically-associated fibers revealed molecular specialization in inclusion body myositis.,10.1186/s12964-026-02720-7,,,17,18
ME-W098,word,98,1,proliferation,增殖,noun,cell-biology,/pɹəˌlɪf.əˈɹeɪ.ʃən/,pro·lif·er·a·tion,We discussed the role of proliferation in cellular pathways.,我们讨论了增殖在细胞通路中的作用。,A Functional Genomic Screen Identifies the Deubiquitinase USP11 as a Novel Transcriptional Regulator of ERα in Breast Cancer.,10.1158/0008-5472.can-20-0214,,,16,22
ME-W099,word,99,1,proteolysis,蛋白水解,noun,protease,/ˌprəʊtiˈɒlɪsɪs/,pro·teo·lys·is,We discussed the role of proteolysis in protease activity and substrate cleavage.,我们讨论了蛋白水解在蛋白酶活性与底物切割中的作用。,TEX264 coordinates p97- and SPRTN-mediated resolution of topoisomerase 1-DNA adducts.,10.1038/s41467-020-15000-w,,,16,21
ME-W100,word,100,1,depletion,耗竭或敲低,noun,methods,/dɪˈpliːʃən/,de·ple·tion,We discussed the role of depletion in the experimental workflow.,我们讨论了耗竭或敲低在实验流程中的作用。,Pervasive phenotypic effects of FBXO42 are promoted by regulation of PP4 phosphatase.,10.1038/s44318-025-00675-y,,,16,20
ME-W101,word,101,1,phenotype,表型,noun,cell-biology,/ˈfiː.nə(ʊ)ˌtaɪp/,phen·o·type,We discussed the role of phenotype in cellular pathways.,我们讨论了表型在细胞通路中的作用。,Unconventional human CD61 pairing with CD103 promotes TCR signaling and antigen-specific T cell cytotoxicity.,10.1038/s41590-024-01802-3,,,16,20
ME-W102,word,102,1,candidate,候选物,noun,drug-discovery,/ˈkæn.dɪ.dət/,can·did·ate,We discussed the role of candidate in target discovery.,我们讨论了候选物在靶点发现中的作用。,Effect of a Laparoscopic Donor Nephrectomy in Healthy Living Kidney Donors on the Acute Phase Response Using Either Propofol or Sevoflurane Anesthesia.,10.3390/ijms26115196,,,16,19
ME-W103,word,103,1,posttranslational,翻译后的,adjective,molecular-biology,/ˌpəʊsttrænzˈleɪʃənəl/,posttrans·la·tion·al,This posttranslational change may affect molecular regulation.,这种翻译后的变化可能影响分子调控。,Analytical challenges for mapping non-canonical and non-protein ubiquitin/Ubl modifications by mass spectrometry.,10.1080/14789450.2026.2624128,,,16,18
ME-W104,word,104,1,synthesis,合成,noun,molecular-biology,/ˈsɪnθəsɪs/,syn·thes·is,We discussed the role of synthesis in molecular regulation.,我们讨论了合成在分子调控中的作用。,Detection and quantification of novel C-terminal TDP-43 fragments in ALS-TDP.,10.1111/bpa.12923,,,14,19
ME-W105,word,105,1,composition,组成,noun,proteomics,/ˌkɒmpəˈzɪʃən/,com·pos·i·tion,We discussed the role of composition in quantitative proteomics.,我们讨论了组成在定量蛋白质组学中的作用。,Spatial protein expression patterns across pathologically-associated fibers revealed molecular specialization in inclusion body myositis.,10.1186/s12964-026-02720-7,,,14,19
ME-W106,word,106,1,methylation,甲基化,noun,molecular-biology,/ˌmɛθɪˈleɪʃən/,methyl·a·tion,We discussed the role of methylation in molecular regulation.,我们讨论了甲基化在分子调控中的作用。,Chromatin accessibility governs the differential response of cancer and T cells to arginine starvation.,10.1016/j.celrep.2021.109101,,,11,42
ME-W107,word,107,1,characterization,表征,noun,methods,/ˌkæɹəktəɹaɪˈzeɪʃən/,char·ac·ter·iz·a·tion,We discussed the role of characterization in the experimental workflow.,我们讨论了表征在实验流程中的作用。,Towards light-coupled sample preparation for time-resolved cryoEM studies.,10.1107/s2052252526005324,,,14,17
ME-W108,word,108,1,workflow,工作流程,noun,methods,/ˈwɜːkfləʊ/,work·flow,We discussed the role of workflow in the experimental workflow.,我们讨论了工作流程在实验流程中的作用。,Spatial protein expression patterns across pathologically-associated fibers revealed molecular specialization in inclusion body myositis.,10.1186/s12964-026-02720-7,,,14,17
ME-W109,word,109,1,epitope,表位,noun,immunology,/ˈepɪtəʊp/,epi·tope,We discussed the role of epitope in immune responses.,我们讨论了表位在免疫反应中的作用。,SARS-CoV-2 mutations affect antigen processing by the proteasome to alter CD8<sup>+</sup> T cell responses.,10.1016/j.heliyon.2023.e20076,,,15,35
ME-W110,word,110,1,cytotoxic,细胞毒性的,adjective,immunology,/ˌsaɪtəʊˈtɒksɪk/,cyto·tox·ic,This cytotoxic change may affect immune responses.,这种细胞毒性的变化可能影响免疫反应。,Long-persisting SARS-CoV-2 spike-specific CD4<sup>+</sup> T cells associated with mild disease and increased cytotoxicity post COVID-19.,10.1038/s41467-025-63711-9,,,13,21
ME-W111,word,111,1,performance,性能,noun,methods,/pəˈfɔːməns/,per·form·ance,We discussed the role of performance in the experimental workflow.,我们讨论了性能在实验流程中的作用。,DEcancer: Machine learning framework tailored to liquid biopsy based cancer detection and biomarker signature selection.,10.1016/j.isci.2023.106610,,,13,21
ME-W112,word,112,1,signature,特征标志,noun,proteomics,/ˈsɪɡ.nə.t͡ʃə/,sig·na·ture,We discussed the role of signature in quantitative proteomics.,我们讨论了特征标志在定量蛋白质组学中的作用。,Multidimensional proteomics and explainable AI feature selection identify cross-platform lung cancer molecular signature in blood plasma.,10.1038/s43856-026-01701-8,,,13,21
ME-W113,word,113,1,differential,差异的,adjective,methods,/ˌdɪfəˈrenʃəl/,dif·fer·en·tial,This differential change may affect the experimental workflow.,这种差异的变化可能影响实验流程。,A systems-based approach to uterine fibroids identifies differential splicing associated with abnormal uterine bleeding.,10.1038/s43856-025-01051-x,,,14,16
ME-W114,word,114,1,therapy,治疗方法,noun,clinical,/ˈθɛɹ.ə.pi/,ther·apy,We discussed the role of therapy in disease mechanisms.,我们讨论了治疗方法在疾病机制中的作用。,Dual role of ER stress in response to metabolic co-targeting and radiosensitivity in head and neck cancer cells.,10.1007/s00018-020-03704-7,,,14,16
ME-W115,word,115,1,differentiation,分化,noun,cell-biology,/dɪf.əˌɹɛn.ʃiˈeɪ.ʃən/,dif·fer·en·ti·ation,We discussed the role of differentiation in cellular pathways.,我们讨论了分化在细胞通路中的作用。,USP18 is an essential regulator of muscle cell differentiation and maturation.,10.1038/s41419-023-05725-z,,,13,20
ME-W116,word,116,1,proteasomal,蛋白酶体的,adjective,ubiquitin,/ˈprəʊtiəsəʊməl/,pro·teasomal,This proteasomal change may affect ubiquitin and protease biology.,这种蛋白酶体的变化可能影响泛素和蛋白酶生物学。,SARS-CoV-2 mutations affect antigen processing by the proteasome to alter CD8<sup>+</sup> T cell responses.,10.1016/j.heliyon.2023.e20076,,,13,20
ME-W117,word,117,1,turnover,周转,noun,ubiquitin,/ˈtɜːnəʊvə/,turnover,We discussed the role of turnover in ubiquitin and protease biology.,我们讨论了周转在泛素和蛋白酶生物学中的作用。,Analytical challenges for mapping non-canonical and non-protein ubiquitin/Ubl modifications by mass spectrometry.,10.1080/14789450.2026.2624128,,,13,20
ME-W118,word,118,1,downstream,下游的,adjective,cell-biology,/ˌdaʊnˈstɹiːm/,down·stream,This downstream change may affect cellular pathways.,这种下游的变化可能影响细胞通路。,Unconventional human CD61 pairing with CD103 promotes TCR signaling and antigen-specific T cell cytotoxicity.,10.1038/s41590-024-01802-3,,,14,15
ME-W119,word,119,1,hypoxia,低氧,noun,cell-biology,/haɪˈpɒksiə/,hyp·ox·ia,We discussed the role of hypoxia in cellular pathways.,我们讨论了低氧在细胞通路中的作用。,Adaptation to HIF1α Deletion in Hypoxic Cancer Cells by Upregulation of GLUT14 and Creatine Metabolism.,10.1158/1541-7786.mcr-18-0315,,,11,29
ME-W120,word,120,1,deficiency,缺陷,noun,clinical,/dɪˈfɪʃənsi/,de·fi·ciency,We discussed the role of deficiency in disease mechanisms.,我们讨论了缺陷在疾病机制中的作用。,BLM and BRCA1-BARD1 coordinate complementary mechanisms of joint DNA molecule resolution.,10.1016/j.molcel.2023.12.040,,,13,16
ME-W121,word,121,1,subunit,亚基,noun,molecular-biology,/sʌbˈjuːnɪt/,sub·unit,We discussed the role of subunit in molecular regulation.,我们讨论了亚基在分子调控中的作用。,Regulation of the endosomal SNX27-retromer by OTULIN.,10.1038/s41467-019-12309-z,,,14,14
ME-W122,word,122,1,enzymatic,酶促的,adjective,protease,/ˈen.zaɪmˌæt.ɪk/,en·zymat·ic,This enzymatic change may affect protease activity and substrate cleavage.,这种酶促的变化可能影响蛋白酶活性与底物切割。,USP24 is a cross-reactive DUB targeting MOV10 to regulate IFN-I production.,10.1038/s41467-026-74490-2,,,13,17
ME-W123,word,123,1,validation,验证,noun,methods,/ˌvæl.əˈdeɪ.ʃən/,val·id·a·tion,We discussed the role of validation in the experimental workflow.,我们讨论了验证在实验流程中的作用。,Spatial protein expression patterns across pathologically-associated fibers revealed molecular specialization in inclusion body myositis.,10.1186/s12964-026-02720-7,,,12,20
ME-W124,word,124,1,innate,先天的,adjective,immunology,/ɪˈneɪt/,in·nate,This innate change may affect immune responses.,这种先天的变化可能影响免疫反应。,USP24 is a cross-reactive DUB targeting MOV10 to regulate IFN-I production.,10.1038/s41467-026-74490-2,,,12,19
ME-W125,word,125,1,lymphocyte,淋巴细胞,noun,immunology,/ˈlɪmfəsaɪt/,lymph·o·cyte,We discussed the role of lymphocyte in immune responses.,我们讨论了淋巴细胞在免疫反应中的作用。,Structural basis and specificity of human otubain 1-mediated deubiquitination.,10.1042/bj20081318,,,5,5
ME-W126,word,126,1,reticulum,网状结构,noun,cell-biology,/rɪˈtɪkjʊləm/,re·tic·ulum,We discussed the role of reticulum in cellular pathways.,我们讨论了网状结构在细胞通路中的作用。,Data-independent acquisition proteomics of cerebrospinal fluid implicates endoplasmic reticulum and inflammatory mechanisms in amyotrophic lateral sclerosis.,10.1111/jnc.16030,,,12,18
ME-W127,word,127,1,genomic,基因组的,adjective,molecular-biology,/dʒɪˈnəʊmɪk/,ge·n·om·ic,This genomic change may affect molecular regulation.,这种基因组的变化可能影响分子调控。,A systems-based approach to uterine fibroids identifies differential splicing associated with abnormal uterine bleeding.,10.1038/s43856-025-01051-x,,,13,13
ME-W128,word,128,1,antibody,抗体,noun,immunology,/ˈæn.tiˌbɒd.i/,an·ti·body,We discussed the role of antibody in immune responses.,我们讨论了抗体在免疫反应中的作用。,Quantitative proteomics reveals CLR interactome in primary human cells.,10.1016/j.jbc.2024.107399,,,10,19
ME-W129,word,129,1,ligand,配体,noun,molecular-biology,/ˈlɪɡ.ənd/,lig·and,We discussed the role of ligand in molecular regulation.,我们讨论了配体在分子调控中的作用。,Towards light-coupled sample preparation for time-resolved cryoEM studies.,10.1107/s2052252526005324,,,12,15
ME-W130,word,130,1,upregulation,上调,noun,molecular-biology,/ˌʌpreɡjʊˈleɪʃən/,up·reg·u·la·tion,We discussed the role of upregulation in molecular regulation.,我们讨论了上调在分子调控中的作用。,Effect of a Laparoscopic Donor Nephrectomy in Healthy Living Kidney Donors on the Acute Phase Response Using Either Propofol or Sevoflurane Anesthesia.,10.3390/ijms26115196,,,12,16
ME-W131,word,131,1,translation,翻译,noun,molecular-biology,/tɹænzˈleɪʃən/,trans·la·tion,We discussed the role of translation in molecular regulation.,我们讨论了翻译在分子调控中的作用。,Nuclear Protein Aggregates Disrupt RNA Processing and Alter Biomechanics in a Muscle Cell Model of OPMD.,10.14336/ad.2025.0699,,,12,14
ME-W132,word,132,1,transport,运输,noun,cell-biology,/tɹænsˈpɔːt/,trans·port,We discussed the role of transport in cellular pathways.,我们讨论了运输在细胞通路中的作用。,Amino acid and viral binding by the high-affinity Cationic Amino acid Transporter 1 (CAT1) from Mus musculus.,10.1038/s41467-026-69421-0,,,11,17
ME-W133,word,133,1,acetylation,乙酰化,noun,molecular-biology,/əˌsiːtɪˈleɪʃən/,acet·yla·tion,We discussed the role of acetylation in molecular regulation.,我们讨论了乙酰化在分子调控中的作用。,Distinct contributions of DNA methylation and histone acetylation to the genomic occupancy of transcription factors.,10.1101/gr.257576.119,,,10,22
ME-W134,word,134,1,collagen,胶原蛋白,noun,cell-biology,/ˈkɒləd͡ʒɪn/,col·la·gen,We discussed the role of collagen in cellular pathways.,我们讨论了胶原蛋白在细胞通路中的作用。,Human Platelet Protein Ubiquitylation and Changes following GPVI Activation.,10.1055/s-0038-1676344,,,10,22
ME-W135,word,135,1,affinity,亲和力,noun,molecular-biology,/əˈfɪnɪti/,af·fin·ity,We discussed the role of affinity in molecular regulation.,我们讨论了亲和力在分子调控中的作用。,Structural basis for SMAC-mediated antagonism of caspase inhibition by the giant ubiquitin ligase BIRC6.,10.1126/science.ade8840,,,11,15
ME-W136,word,136,1,sequencing,测序,noun,methods,/ˈsiːkwənsɪŋ/,se·quen·cing,We discussed the role of sequencing in the experimental workflow.,我们讨论了测序在实验流程中的作用。,Analytical challenges for mapping non-canonical and non-protein ubiquitin/Ubl modifications by mass spectrometry.,10.1080/14789450.2026.2624128,,,11,14
ME-W137,word,137,1,lipid,脂质,noun,metabolism,/ˈlɪpɪd/,lip·id,We discussed the role of lipid in cellular metabolism.,我们讨论了脂质在细胞代谢中的作用。,Hermansky-Pudlak syndrome type 1 causes impaired anti-microbial immunity and inflammation due to dysregulated immunometabolism.,10.1038/s41385-022-00572-1,,,9,20
ME-W138,word,138,1,variant,变异,noun,molecular-biology,/ˈvɛəɹi.ənt/,vari·ant,We discussed the role of variant in molecular regulation.,我们讨论了变异在分子调控中的作用。,Nuclear Protein Aggregates Disrupt RNA Processing and Alter Biomechanics in a Muscle Cell Model of OPMD.,10.14336/ad.2025.0699,,,10,14
ME-W139,word,139,1,bacterial,细菌的,adjective,immunology,/bækˈtɪəriəl/,bac·teri·al,This bacterial change may affect immune responses.,这种细菌的变化可能影响免疫反应。,Hermansky-Pudlak syndrome type 1 causes impaired anti-microbial immunity and inflammation due to dysregulated immunometabolism.,10.1038/s41385-022-00572-1,,,10,15
ME-W140,word,140,1,epigenetic,表观遗传的,adjective,molecular-biology,/ˌɛpɪd͡ʒəˈnɛtɪk/,epi·gen·et·ic,This epigenetic change may affect molecular regulation.,这种表观遗传的变化可能影响分子调控。,Disease-associated KBTBD4 mutations in medulloblastoma elicit neomorphic ubiquitylation activity to promote CoREST degradation.,10.1038/s41418-022-00983-4,,,10,15
ME-W141,word,141,1,network,网络,noun,cell-biology,/ˈnɛt.wɜːk/,net·work,We discussed the role of network in cellular pathways.,我们讨论了网络在细胞通路中的作用。,Data-independent acquisition proteomics of cerebrospinal fluid implicates endoplasmic reticulum and inflammatory mechanisms in amyotrophic lateral sclerosis.,10.1111/jnc.16030,,,9,17
ME-W142,word,142,1,oxidative,氧化的,adjective,cell-biology,/ˈɒksɪdətɪv/,ox·id·at·ive,This oxidative change may affect cellular pathways.,这种氧化的变化可能影响细胞通路。,Targeted delivery of galunisertib using machine perfusion reduces fibrogenesis in an integrated ex vivo renal transplant and fibrogenesis model.,10.1111/bph.16220,,,9,17
ME-W143,word,143,1,autophagy,自噬,noun,cell-biology,/ɔːˈtɒfədʒi/,auto·phagy,We discussed the role of autophagy in cellular pathways.,我们讨论了自噬在细胞通路中的作用。,SLC45A4 is a pain gene encoding a neuronal polyamine transporter.,10.1038/s41586-025-09326-y,,,8,24
ME-W144,word,144,1,viability,活力,noun,cell-biology,/ˌvaɪəˈbɪləti/,vi·ab·il·ity,We discussed the role of viability in cellular pathways.,我们讨论了活力在细胞通路中的作用。,Targeted delivery of galunisertib using machine perfusion reduces fibrogenesis in an integrated ex vivo renal transplant and fibrogenesis model.,10.1111/bph.16220,,,10,11
ME-W145,word,145,1,aggregation,聚集,noun,proteomics,/æɡɹəˈɡeɪʃən/,ag·greg·a·tion,We discussed the role of aggregation in quantitative proteomics.,我们讨论了聚集在定量蛋白质组学中的作用。,Spatial protein expression patterns across pathologically-associated fibers revealed molecular specialization in inclusion body myositis.,10.1186/s12964-026-02720-7,,,8,21
ME-W146,word,146,1,effector,效应分子,noun,immunology,/ɪˈfek.tə/,ef·fect·or,We discussed the role of effector in immune responses.,我们讨论了效应分子在免疫反应中的作用。,Unconventional human CD61 pairing with CD103 promotes TCR signaling and antigen-specific T cell cytotoxicity.,10.1038/s41590-024-01802-3,,,10,10
ME-W147,word,147,1,localization,定位,noun,cell-biology,/ˌləʊkəlaɪˈzeɪʃən/,loc·al·iz·a·tion,We discussed the role of localization in cellular pathways.,我们讨论了定位在细胞通路中的作用。,Spatial protein expression patterns across pathologically-associated fibers revealed molecular specialization in inclusion body myositis.,10.1186/s12964-026-02720-7,,,10,10
ME-W148,word,148,1,quantification,定量,noun,mass-spec,/ˌkwɒn.tɪˌfɪˈkeɪ.ʃən/,quan·ti·fic·a·tion,We discussed the role of quantification in mass-spectrometry experiments.,我们讨论了定量在质谱实验中的作用。,Targeted Mass Spectrometry Reveals Interferon-Dependent Eicosanoid and Fatty Acid Alterations in Chronic Myeloid Leukaemia.,10.3390/ijms242115513,,,9,12
ME-W149,word,149,1,deubiquitinase,去泛素化酶,noun,ubiquitin,/ˌdiːjuːˈbɪkwɪtɪneɪz/,deu·bi·quit·inase,We discussed the role of deubiquitinase in ubiquitin and protease biology.,我们讨论了去泛素化酶在泛素和蛋白酶生物学中的作用。,Activity-Based Protein Profiling (ABPP) for Cellular Deubiquitinase (DUB) and Inhibitor Profiling at Deep and High-Throughput Levels.,10.1007/978-1-0716-2803-4_7,,,9,12
ME-W150,word,150,1,interactor,相互作用蛋白,noun,molecular-biology,/ˌɪntəɹˈæktə/,in·ter·act·or,We discussed the role of interactor in molecular regulation.,我们讨论了相互作用蛋白在分子调控中的作用。,Regulation of the endosomal SNX27-retromer by OTULIN.,10.1038/s41467-019-12309-z,,,3,3
ME-W151,word,151,1,cytotoxicity,细胞毒性,noun,immunology,/ˌsaɪtəʊtɒkˈsɪsəti/,cyto·tox·icity,We discussed the role of cytotoxicity in immune responses.,我们讨论了细胞毒性在免疫反应中的作用。,Long-persisting SARS-CoV-2 spike-specific CD4<sup>+</sup> T cells associated with mild disease and increased cytotoxicity post COVID-19.,10.1038/s41467-025-63711-9,,,8,15
ME-W152,word,152,1,secretion,分泌,noun,cell-biology,/sɪˈkriːʃən/,se·cre·tion,We discussed the role of secretion in cellular pathways.,我们讨论了分泌在细胞通路中的作用。,USP24 is a cross-reactive DUB targeting MOV10 to regulate IFN-I production.,10.1038/s41467-026-74490-2,,,9,10
ME-W153,word,153,1,resistance,抗性,noun,clinical,/ɹɪˈzɪstəns/,res·ist·ance,We discussed the role of resistance in disease mechanisms.,我们讨论了抗性在疾病机制中的作用。,Deletion of the deISGylating enzyme USP18 enhances tumour cell antigenicity and radiosensitivity.,10.1038/s41416-020-01167-y,,,8,14
ME-W154,word,154,1,invasion,侵袭,noun,clinical,/ɪnˈveɪʒən/,in·va·sion,We discussed the role of invasion in disease mechanisms.,我们讨论了侵袭在疾病机制中的作用。,Colonic epithelial cell diversity in health and inflammatory bowel disease.,10.1038/s41586-019-0992-y,,,7,21
ME-W155,word,155,1,reversible,可逆的,adjective,molecular-biology,/ɹəˈvɜː(ɹ)sɪbəl/,re·vers·ible,This reversible change may affect molecular regulation.,这种可逆的变化可能影响分子调控。,Ubiquitylation of nucleic acids by DELTEX ubiquitin E3 ligase DTX3L.,10.1038/s44319-024-00235-1,,,8,13
ME-W156,word,156,1,capacity,能力,noun,methods,/kəˈpæsɪti/,ca·pa·city,We discussed the role of capacity in the experimental workflow.,我们讨论了能力在实验流程中的作用。,Composition and structure of synaptic ectosomes exporting antigen receptor linked to functional CD40 ligand from helper T cells.,10.7554/elife.47528,,,9,10
ME-W157,word,157,1,concentration,浓度,noun,methods,/ˌkɒn.sənˈtɹeɪ.ʃən/,con·cen·tra·tion,We discussed the role of concentration in the experimental workflow.,我们讨论了浓度在实验流程中的作用。,Characterization of exosomes in peritoneal fluid of endometriosis patients.,10.1016/j.fertnstert.2019.09.032,,,7,10
ME-W158,word,158,1,machinery,分子机器,noun,cell-biology,/məˈʃiːnəɹi/,ma·chinery,We discussed the role of machinery in cellular pathways.,我们讨论了分子机器在细胞通路中的作用。,Activity-based protein profiling reveals both canonical and novel ubiquitin pathway enzymes in Plasmodium.,10.1371/journal.ppat.1013032,,,9,10
ME-W159,word,159,1,potency,效力,noun,drug-discovery,/ˈpəʊtənsi/,po·tency,We discussed the role of potency in target discovery.,我们讨论了效力在靶点发现中的作用。,Structural Dynamics of the Ubiquitin Specific Protease USP30 in Complex with a Cyanopyrrolidine-Containing Covalent Inhibitor.,10.1021/acs.jproteome.4c00618,,,9,10
ME-W160,word,160,1,metabolite,代谢物,noun,metabolism,/mɪˈtæbəlaɪt/,meta·bol·ite,We discussed the role of metabolite in cellular metabolism.,我们讨论了代谢物在细胞代谢中的作用。,"Association of Indoleamine 2,3-Dioxygenase (IDO) Activity with Outcome after Cardiac Surgery in Adult Patients.",10.3390/metabo14060334,,,5,10
ME-W161,word,161,1,microscopy,显微镜技术,noun,methods,/maɪˈkɹɒs.kə.pi/,mi·cro·scopy,We discussed the role of microscopy in the experimental workflow.,我们讨论了显微镜技术在实验流程中的作用。,Spatial protein expression patterns across pathologically-associated fibers revealed molecular specialization in inclusion body myositis.,10.1186/s12964-026-02720-7,,,9,9
ME-W162,word,162,1,modulation,调节,noun,molecular-biology,/ˌmɒdjʊˈleɪʃn̩/,mod·u·la·tion,We discussed the role of modulation in molecular regulation.,我们讨论了调节在分子调控中的作用。,SLC45A4 is a pain gene encoding a neuronal polyamine transporter.,10.1038/s41586-025-09326-y,,,9,9
ME-W163,word,163,1,physiological,生理的,adjective,cell-biology,/ˌfɪz.i.əˈlɒd͡ʒ.i.kəl/,physiolo·gic·al,This physiological change may affect cellular pathways.,这种生理的变化可能影响细胞通路。,The Developmental Environment Mediates Adult Seminal Proteome Allocation in Male Drosophila melanogaster.,10.1111/mec.70101,,,9,9
ME-W164,word,164,1,conformational,构象的,adjective,molecular-biology,/kɒn.fəˈmeɪ.ʃən.əl/,con·form·a·tion·al,This conformational change may affect molecular regulation.,这种构象的变化可能影响分子调控。,Towards light-coupled sample preparation for time-resolved cryoEM studies.,10.1107/s2052252526005324,,,8,11
ME-W165,word,165,1,deacetylase,去乙酰化酶,noun,molecular-biology,/ˌdiːəˈsetɪleɪz/,deacetylase,We discussed the role of deacetylase in molecular regulation.,我们讨论了去乙酰化酶在分子调控中的作用。,Distinct contributions of DNA methylation and histone acetylation to the genomic occupancy of transcription factors.,10.1101/gr.257576.119,,,8,11
ME-W166,word,166,1,engagement,结合占有,noun,drug-discovery,/ɪnˈɡeɪd͡ʒ.mənt/,en·gage·ment,We discussed the role of engagement in target discovery.,我们讨论了结合占有在靶点发现中的作用。,Structural Premise of Selective Deubiquitinase USP30 Inhibition by Small-Molecule Benzosulfonamides.,10.1016/j.mcpro.2023.100609,,,8,11
ME-W167,word,167,1,fibroblast,成纤维细胞,noun,cell-biology,/ˈfaɪ.brəˌblɑːst/,fibro·blast,We discussed the role of fibroblast in cellular pathways.,我们讨论了成纤维细胞在细胞通路中的作用。,Strong xenoprotective function by single-copy transgenes placed sequentially at a permissive locus.,10.1111/xen.12382,,,0,0
ME-W168,word,168,1,fragment,片段,noun,mass-spec,/ˈfɹæɡmənt/,frag·ment,We discussed the role of fragment in mass-spectrometry experiments.,我们讨论了片段在质谱实验中的作用。,Covalent Fragment Screening and Optimization Identifies the Chloroacetohydrazide Scaffold as Inhibitors for Ubiquitin C-terminal Hydrolase L1.,10.1021/acs.jmedchem.3c01661,,,8,11
ME-W169,word,169,1,hydroxylase,羟化酶,noun,molecular-biology,/haɪˈdrɒksɪleɪz/,hy·droxylase,We discussed the role of hydroxylase in molecular regulation.,我们讨论了羟化酶在分子调控中的作用。,OGFOD1 catalyzes prolyl hydroxylation of RPS23 and is involved in translation control and stress granule formation.,10.1073/pnas.1314482111,,,8,11
ME-W170,word,170,1,mortality,死亡率,noun,clinical,/mɔːˈtæləti/,mor·tal·ity,We discussed the role of mortality in disease mechanisms.,我们讨论了死亡率在疾病机制中的作用。,Multidimensional proteomics and explainable AI feature selection identify cross-platform lung cancer molecular signature in blood plasma.,10.1038/s43856-026-01701-8,,,8,11
